"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","Fld","BsR","-1","WAR","-1","ADP","playerid"
"Alex Kirilloff","MIN","110","476","439","118","22","2","17","54","62","29","105","4","4","3","",".269",".319",".447",".766",".326","","0.2","-0.9","","0.9","","177.9","20325"
"Jordan Luplow","ARI","87","378","326","76","18","1","15","48","47","45","96","4","4","3","",".234",".333",".433",".765",".332","","0.6","-0.7","","0.9","","599.6","16424"
"Connor Joe","COL","87","378","326","85","18","1","13","47","47","43","79","5","1","1","",".261",".353",".441",".794",".345","","1.0","-0.5","","0.9","","330.7","16572"
"Steven Duggar","SFG","84","364","327","78","17","4","7","42","37","31","107","3","8","3","",".239",".309",".380",".689",".298","","0.6","0.3","","0.8","","599.3","17719"
"Victor Reyes","DET","63","273","256","70","13","3","6","33","27","13","58","2","7","2","",".274",".310",".414",".724",".311","","0.5","0.3","","0.8","","586.9","15487"
"Jo Adell","LAA","126","546","504","122","23","4","23","62","79","32","153","5","9","3","",".242",".293",".441",".734",".313","","-2.9","-0.2","","0.8","","231.6","20220"
"Dylan Moore","SEA","86","371","326","68","15","2","11","41","40","34","104","8","18","7","",".210",".296",".369",".665",".292","","-0.1","0.6","","0.8","","452.2","18042"
"Adam Engel","CHW","87","378","345","82","17","2","12","43","40","21","96","8","11","4","",".238",".294",".399",".693",".300","","2.2","0.7","","0.8","","596.1","15082"
"Corey Dickerson","","99","427","395","105","22","3","11","49","46","25","81","3","5","3","",".266",".313",".425",".738",".315","","-0.3","-0.9","","0.7","","598.1","10762"
"Ben Gamel","PIT","121","525","454","112","26","3","10","58","45","61","135","4","6","5","",".246",".339",".383",".722",".316","","-1.6","-1.1","","0.7","","574.6","12160"
"Randal Grichuk","TOR","118","511","474","117","25","2","24","63","75","29","114","4","2","1","",".246",".292",".458",".750",".318","","-3.0","-0.8","","0.7","","384.3","10243"
"Darin Ruf","SFG","87","378","330","80","16","1","15","44","47","40","103","4","2","1","",".243",".331",".434",".764",".329","","-0.2","-0.7","","0.7","","442.9","9929"
