"","Name","Team","position","marginal_total_points","dollar_value","auction_value","status"
"231","Jordan Luplow","ARI","of",-0.600732817238626,-2.03435207122927,-3.10379940952744,""
"232","Luis Cessa","CIN","pitcher",-0.79,-2.04,-3.11241642239929,""
"233","Colin Poche","TBR","pitcher",-0.82,-2.09,-3.18870113863457,""
"234","Brad Miller",NA,"1b, ss",-0.623342272767241,-2.1109178777977,-3.2206154260754,""
"235","Caleb Ferguson","LAD","pitcher",-0.85,-2.15,-3.2802427981169,""
"236","Dominic Leone","SFG","pitcher",-0.87,-2.2,-3.35652751435217,""
"237","Jordan Lyles",NA,"pitcher",-0.88,-2.2,-3.35652751435217,""
"238","Bryan Lavastida","CLE","catcher",-3.60445142623657,-2.20629706616631,-3.3661349124644,""
"239","Cody Morris","CLE","pitcher",-0.88,-2.21,-3.37178445759923,""
"240","Josh Naylor","CLE","of",-0.662495731710619,-2.24350913635984,-3.42290915676923,""
"241","Sammy Long","SFG","pitcher",-0.9,-2.25,-3.43281223058745,""
"242","Kevin Smith","TOR","3b",-0.668342235911823,-2.26330803462187,-3.45311622348303,""
"243","Jay Jackson","ATL","pitcher",-0.92,-2.28,-3.47858306032862,""
"244","Domingo Acevedo","OAK","pitcher",-0.94,-2.31,-3.52435389006978,""
"245","Brett Martin","TEX","pitcher",-0.94,-2.31,-3.52435389006978,""
"246","Lewin Díaz","MIA","1b",-0.682395368104789,-2.31089827401554,-3.52572438163733,""
"247","Austin Warren","LAA","pitcher",-0.94,-2.32,-3.53961083331684,""
"248","Justin Dunn","SEA","pitcher",-0.94,-2.33,-3.55486777656389,""
"249","Mike Foltynewicz",NA,"pitcher",-0.95,-2.34,-3.57012471981095,""
"250","Jed Lowrie",NA,"2b, dh, ss",-0.699827691183184,-2.36993197675861,-3.61579176687878,""
"251","Tony Watson",NA,"pitcher",-0.97,-2.37,-3.61589554955212,""
"252","Ryan Thompson","TBR","pitcher",-0.98,-2.38,-3.63115249279917,""
"253","Dylan Coleman","KCR","pitcher",-0.98,-2.39,-3.64640943604623,""
"254","John King","TEX","pitcher",-0.99,-2.4,-3.66166637929328,""
"255","Harold Ramirez","CHC","of",-0.710614079983509,-2.40645955069388,-3.67152167912707,""
