"playerid","NFBC_ADP"
"7802",323.38
"sa3003109",NA
"12164",254.69
"21111",722.46
"NA",NA
"19683",634.31
"NA",204.08
"7754",NA
"10811",NA
"15585",NA
"11618",NA
"10130",NA
"15451",663.92
"10021",432.92
"4869",NA
"4892",345.77
"18383",588.92
"15274",NA
"10155",19
"14854",284.62
"13265",283.85
"9803",440.38
"15161",196.23
"14274",126.77
"17594",525.23
"3086",NA
"19225",NA
"17216",NA
"13611",15.85
"10430",689.54
"17620",113.62
"NA",NA
"4696",NA
"19566",NA
"15407",NA
"20160",462.38
"9132",118.92
"18",NA
"7539",NA
"2434",194.38
"11737",NA
"12147",534.69
"18337",NA
"sa873982",NA
"11737",67.08
"sa3006714",681.85
"sa828662",522.46
"19577",NA
"NA",554.38
"20521",289.77
"20395",NA
"5930",NA
"sa876186",NA
"25376",NA
"18699",NA
"20153",NA
"15454",328.38
"12575",NA
"sa3006820",NA
"19293",409.92
"19294",370.38
"12385",NA
"15594",NA
"19339",231.77
"21479",388.85
"5530",NA
"12092",586.15
"22449",NA
"11762",238.38
"12800",750.62
"9777",82.23
"sa874212",NA
"NA",523.23
"NA",681.46
"14553",NA
"NA",628.85
"8823",NA
"1514",NA
"sa914242",NA
"13338",271.85
"NA",210.38
"13185",747.08
"NA",NA
"16375",560.77
"sa3006673",749.69
"16556",16.46
"sa875573",NA
"17085",141.92
"5409",NA
"sa913120",NA
"sa873274",NA
"14885",NA
"9323",397.31
"sa827167",NA
"19712",750
"19447",195.46
"17792",NA
"14739",NA
"sa3005052",NA
"18015",422.54
"15832",NA
"9218",61
"19892",369.77
"5420",NA
"NA",744.54
"14523",503.92
"4070",NA
"19251",63.08
"17998",527.69
"17998",NA
"18519",747.31
"10953",693.54
"18064",734.77
"20030",NA
"14738",NA
"12950",NA
"15605",NA
"13435",412.46
"17350",18.62
"4185",NA
"21646",NA
"12760",NA
"14350",253.92
"17130",36
"17128",229.38
"20368",NA
"18795",466.08
"10243",342.38
"19290",58.54
"23798",702.77
"17277",171.23
"14244",NA
"15674",723.85
"sa598828",NA
"19311",NA
"NA",399.38
"14503",NA
"3648",NA
"14966",NA
"16400",547.92
"16472",137.46
"4806",414.62
"7803",NA
"19337",NA
"13549",556.23
"16411",NA
"NA",NA
"17736",NA
"2717",NA
"20023",NA
"19826",NA
"14103",NA
"5254",171.31
"5254",171.31
"11486",48.46
"13167",NA
"19191",NA
"13696",NA
"13594",641.31
"6576",NA
"NA",731.92
"2900",533.23
"NA",489.54
"3142",NA
"12673",NA
"17679",NA
"13546",NA
"18401",9.23
"20041",NA
"14388",NA
"11400",750.15
"sa881850",NA
"sa873674",NA
"13273",582.08
"12282",473.38
"14646",289.08
"15679",295.23
"sa3004259",705
"10819",NA
"17016",NA
"4616",NA
"16350",NA
"5615",NA
"3410",NA
"16377",NA
"18138",NA
"sa738145",NA
"24618",496.15
"16524",NA
"sa875055",NA
"15112",164
"18373",113.62
"16442",750.69
"7005",46.85
"sa3008244",NA
"12249",NA
"10291",576.69
"16647",NA
"NA",732.77
"sa3008436",679.77
"16502",507.54
"4220",744
"12680",NA
"15947",706.08
"13690",NA
"7304",38
"sa828815",NA
"17264",NA
"sa3004222",NA
"18054",NA
"17954",384.15
"16265",NA
"22209",600.46
"sa829124",NA
"13397",NA
"22209",NA
"18684",37.31
"5273",748.69
"5273",748.69
"19997",480.46
"NA",NA
"10591",NA
"14993",148.69
"16427",NA
"14453",NA
"17975",741.31
"sa738902",NA
"13911",NA
"12225",NA
"1581",NA
"sa3007989",750.62
"15873",133.15
"19352",253.15
"16943",NA
"19583",NA
"17034",NA
"6589",NA
"18887",NA
"19249",745.54
"16417",739.23
"9817",NA
"NA",586.38
"18171",479.23
"19766",NA
"12447",675.62
"21333",NA
"NA",123.46
"19427",30.62
"10756",NA
"sa3008547",105.69
"19453",NA
"12857",NA
"16542",NA
"16542",NA
"19635",NA
"21794",NA
"3174",NA
"27461",NA
"19755",11.23
"27460",NA
"15051",NA
"19680",367.08
"17723",745.31
"12768",165.15
"23252",563
"NA",266.23
"16207",NA
"4579",746.08
"9241",25
"16058",NA
"13367",666.77
"10131",306.92
"15859",NA
"5000",NA
"sa738419",NA
"6483",NA
"15291",NA
"17719",672.77
"sa828326",NA
"13361",249.23
"5667",NA
"8185",NA
"sa829822",NA
"3237",NA
"19269",NA
"11836",353.69
"19879",198.23
"17610",345.46
"8753",NA
"17586",724.31
"22267",183
"17611",NA
"18306",NA
"sa827360",NA
"18325",584
"19533",750.15
"13449",162.77
"sa917943",732.92
"NA",567.62
"17548",718.85
"19266",735.31
"14899",NA
"16233",NA
"13066",33.31
"NA",NA
"16426",701.08
"19264",744.46
"NA",NA
"sa875054",NA
"15172",32.46
"7949",NA
"16814",NA
"15124",NA
"14137",NA
"785",NA
"sa872726",NA
"NA",NA
"13499",524.85
"13755",745.23
"21281",NA
"19470",80.69
"1157",NA
"11384",749.77
"12371",500
"7608",NA
"2967",243.31
"NA",NA
"19388",315.69
"14894",382.85
"sa874781",706.54
"3132",NA
"11470",NA
"16929",700.23
"18581",NA
"18395",NA
"7739",236.62
"15958",738.92
"18600",NA
"11982",735.23
"16252",1.15
"18564",124.62
"17948",NA
"19977",NA
"12703",248.62
"6249",NA
"15046",NA
"sa3008376",560.77
"6398",580.69
"19309",705.54
"22286",84.85
"10745",460.62
"sa918441",749.92
"12564",34.46
"16977",742.85
"15149",194.54
"NA",522.15
"18000",226.92
"sa828871",NA
"sa828871",NA
"10200",393.69
"19871",588.77
"sa3002857",744
"14719",NA
"17982",150.62
"sa3004015",NA
"17735",603.62
"12880",561.23
"15203",NA
"16981",475.54
"4338",NA
"5640",NA
"13758",634.46
"9134",NA
"NA",NA
"14374",NA
"13897",NA
"sa3004574",NA
"sa915688",NA
"18297",NA
"16358",130
"10058",591.38
"13359",325.69
"15711",48.23
"sa875646",NA
"15541",558.92
"17988",158.38
"15730",429.15
"14974",NA
"sa918346",359.92
"15564",NA
"20379",NA
"13675",386.15
"19976",NA
"7872",NA
"15915",NA
"14968",592.31
"14968",592.31
"sa880983",NA
"15487",606.92
"18363",395.23
"NA",330.77
"17684",NA
"11189",746.85
"19611",6.54
"sa952977",582.77
"5221",NA
"8779",437.23
"19374",18.08
"sa3007033",64.77
"15855",NA
"sa874818",NA
"14295",NA
"3256",NA
"19243",NA
"11281",31.85
"19800",691.54
"10047",273.85
"19267",NA
"3192",NA
"19197",64.15
"19197",67.15
"8048",64.15
"8048",67.15
"19197",64.15
"19197",67.15
"8048",64.15
"8048",67.15
"sa3004101",NA
"17338",541.38
"20503",650.08
"15608",NA
"17838",377.46
"11609",116.08
"15986",125.31
"5827",377.38
"1433",746.15
"14555",NA
"sa918372",NA
"12161",48.31
"NA",NA
"19334",551.62
"7007",310.69
"16313",NA
"9627",356.54
"16578",349.69
"14225",NA
"11368",109.23
"17171",NA
"15068",NA
"17423",731.85
"12095",626.54
"17181",NA
"17232",156.62
"13110",NA
"19444",NA
"11602",NA
"15794",718.08
"NA",733
"19556",33.62
"NA",326.31
"27459",326.31
"19756",NA
"27459",NA
"NA",641.31
"13074",93.38
"14773",NA
"19198",207.31
"20633",322.92
"NA",750.85
"sa912848",NA
"19291",126.38
"sa915645",732
"13183",713.62
"13774",506.54
"14973",NA
"19392",637.15
"19979",335.62
"sa829370",NA
"3240",NA
"19159",NA
"19181",705.23
"14862",NA
"1943",343.62
"sa873287",NA
"NA",NA
"10310",20.08
