"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","wRC+","-1","WAR","-1","ADP","playerid"
"Rob Brantly","","5","18","16","4","1","0","0","2","2","1","3","0","0","0","",".218",".282",".324",".606",".266","67","","0.0","","999.0","10655"
"Austin Wynns","","7","22","20","5","1","0","0","2","2","2","5","0","0","0","",".224",".285",".332",".617",".272","68","","0.0","","999.0","15271"
"Aramis Garcia","CIN","17","57","53","11","2","0","2","6","6","3","18","1","0","0","",".215",".267",".364",".631",".274","64","","0.0","","999.0","16925"
"Sebastian Rivero","KCR","9","30","28","6","1","0","1","3","3","2","8","0","0","0","",".226",".277",".345",".621",".270","67","","0.0","","999.0","21735"
"Chance Sisco","NYM","21","75","65","14","3","0","2","8","7","7","22","2","0","0","",".210",".305",".339",".644",".286","79","","0.0","","999.0","15694"
"Mark Kolozsvary","CIN","11","42","37","8","2","0","1","4","4","3","14","1","0","0","",".206",".285",".352",".637",".281","69","","0.0","","999.0","sa3004996"
"Hunter Feduccia","LAD","4","13","11","3","1","0","0","1","1","1","3","0","0","0","",".231",".301",".357",".658",".288","81","","0.0","","999.0","sa3007872"
"Brian Serven","COL","6","19","18","4","1","0","1","2","2","1","5","0","0","0","",".228",".283",".390",".673",".290","66","","0.0","","999.0","sa857231"
"Jamie Ritchie","PIT","5","20","18","4","1","0","0","2","2","2","4","0","0","0","",".242",".324",".340",".665",".295","81","","0.0","","999.0","sa829058"
"Tony Wolters","","13","44","39","8","2","0","0","4","3","4","11","1","0","0","",".213",".298",".291",".588",".264","63","","0.0","","999.0","11470"
"Fabian Pena","SFG","3","9","9","2","0","0","0","1","1","0","2","0","0","0","",".218",".265",".362",".626",".270","70","","0.0","","999.0","sa3007303"
"Collin Theroux","","3","9","8","1","0","0","0","1","1","1","4","0","0","0","",".142",".230",".262",".492",".223","41","","0.0","","999.0","sa876102"
"Willians Astudillo","","12","38","36","9","2","0","1","4","4","1","3","1","0","0","",".252",".287",".380",".667",".287","80","","0.0","","600.9","15608"
"Drew Butera","","15","51","45","8","2","0","1","4","4","4","16","1","0","0","",".186",".255",".291",".546",".243","50","","-0.1","","999.0","3411"
